"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,6.25188535715633,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,-2.51297083388929,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2010-Q1","Q1-2010","PC","Percentage","0","Units",,,-3.94627617549239,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2010-Q2","Q2-2010","PC","Percentage","0","Units",,,0.785626294348088,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2010-Q3","Q3-2010","PC","Percentage","0","Units",,,5.47339443077949,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2010-Q4","Q4-2010","PC","Percentage","0","Units",,,8.12799026093575,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2011-Q1","Q1-2011","PC","Percentage","0","Units",,,4.23753422002971,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2011-Q2","Q2-2011","PC","Percentage","0","Units",,,5.74816815862246,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2011-Q3","Q3-2011","PC","Percentage","0","Units",,,0.402608094654791,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2011-Q4","Q4-2011","PC","Percentage","0","Units",,,-5.76999520845528,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2012-Q1","Q1-2012","PC","Percentage","0","Units",,,-2.46159281532323,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2012-Q2","Q2-2012","PC","Percentage","0","Units",,,-1.11735060907673,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2012-Q3","Q3-2012","PC","Percentage","0","Units",,,0.982515727869065,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2012-Q4","Q4-2012","PC","Percentage","0","Units",,,-0.559346103122195,,
